"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"7784","WR","Darrius","Heyward-Bey","5.9","7","4900","CIN@PIT","PIT","CIN","","","",""
"27134","WR","Dorial","Green-Beckham","4","6","4900","TEN@HOU","TEN","HOU","","","",""
"30910","RB","Zac","Stacy","4.2","5","4900","NYJ@OAK","NYJ","OAK","","","",""
"22054","WR","Jarius","Wright","4.2","6","4900","MIN@CHI","MIN","CHI","Q","Concussion","",""
"28157","WR","Bennie","Fowler","2.4","6","4900","GB@DEN","DEN","GB","","","",""
"22004","TE","Dwayne","Allen","3.4","5","4800","IND@CAR","IND","CAR","","","",""
"34073","QB","Ryan","Griffin","2.3","1","4800","TEN@HOU","HOU","TEN","IR","Knee","",""
"43956","QB","David","Fales","0","0","4800","MIN@CHI","CHI","MIN","","","",""
"29605","QB","Matt","Barkley","0","1","4800","ARI@CLE","ARI","CLE","","","",""
"45797","QB","Garrett","Grayson","0","0","4800","NYG@NO","NO","NYG","","","",""
"6427","K","Connor","Barth","13.5","2","4800","TB@ATL","TB","ATL","","","",""
"29445","QB","Sean","Mannion","0","0","4800","SF@STL","STL","SF","","","",""
"29500","WR","Markus","Wheaton","5.6","7","4800","CIN@PIT","PIT","CIN","","","",""
"22994","QB","Case","Keenum","12.5","2","4800","SF@STL","STL","SF","","","",""
"27266","WR","Quincy","Enunwa","2.7","5","4800","NYJ@OAK","NYJ","OAK","O","Suspension","",""
"12903","WR","Andrew","Hawkins","4.7","7","4800","ARI@CLE","CLE","ARI","Q","Concussion","",""
"12544","D","New York","Jets","8.5","6","4800","NYJ@OAK","NYJ","OAK","","","",""
"24760","QB","Sean","Renfree","-0.4","1","4800","TB@ATL","ATL","TB","","","",""
"12553","D","Carolina","Panthers","10.2","6","4800","IND@CAR","CAR","IND","","","",""
"10354","RB","Marcel","Reece","7.5","6","4800","NYJ@OAK","OAK","NYJ","","","",""
"29003","RB","Ka'Deem","Carey","0","3","4800","MIN@CHI","CHI","MIN","","","",""
"31798","QB","Bryce","Petty","0","0","4800","NYJ@OAK","NYJ","OAK","","","",""
"10647","K","Matt","Bryant","7.4","7","4800","TB@ATL","ATL","TB","","","",""
"22187","QB","Chandler","Harnish","0","0","4800","ARI@CLE","ARI","CLE","","","",""
"29915","QB","Brett","Hundley","0","0","4800","GB@DEN","GB","DEN","","","",""
"26094","WR","Brandon","Coleman","3.5","7","4800","NYG@NO","NO","NYG","","","",""
"12525","D","Atlanta","Falcons","7.9","7","4800","TB@ATL","ATL","TB","","","",""
"12533","D","Green Bay","Packers","10.5","6","4800","GB@DEN","GB","DEN","","","",""
"6668","K","Adam","Vinatieri","5","7","4800","IND@CAR","IND","CAR","","","",""
"6664","TE","Jacob","Tamme","6.3","6","4800","TB@ATL","ATL","TB","","","",""
"6702","K","Phil","Dawson","6.6","7","4800","SF@STL","SF","STL","","","",""
